YHOO,AAPL
"((38.161111222222225, 37.485555777777776, 37.805555444444444, 37.834444666666663), (39.380001, 38.220001, 38.669998, 38.549999, '2014-02-28'))","((538.33000688888887, 529.77666477777768, 532.79333655555558, 534.42221833333338), (532.749977, 522.119987, 526.239975, 529.079987, '2014-02-28'))"
"((38.137778000000004, 37.480000333333336, 37.799999999999997, 37.821111444444448), (38.66, 37.43, 38.25, 37.650002, '2014-03-03'))","((536.54445044444446, 527.75999788888885, 530.93111922222215, 532.4755545555555), (530.650009, 522.80999, 527.76001, 523.419991, '2014-03-03'))"
"((38.241111333333336, 37.492222555555564, 37.848888666666667, 37.83444466666667), (39.790001, 38.68, 39.630001, 38.759998, '2014-03-04'))","((535.07444499999997, 525.6388871111111, 528.95889188888896, 530.9877768888889), (532.640015, 527.769997, 531.239983, 530.999977, '2014-03-04'))"
"((38.248889111111112, 37.418889222222226, 37.842221888888886, 37.761111444444445), (40.150002, 39.189999, 39.5, 39.830002, '2014-03-05'))","((532.79222100000004, 523.10555511111102, 526.93333599999994, 528.47888699999999), (534.750023, 529.129974, 532.360008, 530.919975, '2014-03-05'))"
"((38.411111222222218, 37.530000333333334, 38.044444111111112, 37.838888888888881), (39.98, 39.5, 39.66, 39.599998, '2014-03-06'))","((531.2088885555554, 522.37444211111108, 526.25222266666674, 526.95110833333331), (534.440002, 528.099991, 530.749985, 532.789978, '2014-03-06'))"
"((38.645555777777787, 37.740000333333334, 38.234443999999996, 38.061111111111103), (39.91, 38.450001, 38.700001, 39.709999, '2014-03-07'))","((530.95889022222218, 522.38888533333329, 526.38666866666654, 526.72110744444444), (531.980026, 526.050011, 530.440018, 531.090019, '2014-03-07'))"
"((38.870000333333337, 37.993333555555559, 38.497777222222211, 38.249999555555554), (38.779999, 37.91, 38.049999, 38.630001, '2014-03-10'))","((530.94444688888893, 522.77777422222209, 526.99777900000004, 526.72110744444444), (533.330017, 528.339996, 530.919975, 528.360023, '2014-03-10'))"
"((39.114444888888883, 38.174444777777779, 38.639999777777774, 38.525554999999997), (38.299999, 37.43, 37.560001, 38.25, '2014-03-11'))","((531.17333800000006, 523.18110644444448, 527.31889011111116, 527.60332911111118), (538.740021, 532.589973, 536.089973, 535.450012, '2014-03-11'))"
"((39.247777888888876, 38.273333666666673, 38.727777666666668, 38.65333288888889), (37.610001, 36.48, 37.5, 37.209999, '2014-03-12'))","((531.59111944444442, 523.99665988888887, 528.30333033333341, 527.48999611111105), (537.349976, 532.0, 536.609985, 534.510017, '2014-03-12'))"
"((39.270000222222222, 38.283333666666664, 38.72111122222222, 38.753333111111111), (38.419998, 36.810001, 37.23, 38.049999, '2014-03-13'))","((533.11778844444439, 525.8844348888889, 530.38554977777778, 528.80555211111118), (539.659988, 529.159988, 530.650009, 537.440018, '2014-03-13'))"
